split,threshold,accuracy,balanced_accuracy,macro_f1,failure_precision,failure_recall,failure_f1,success_precision,success_recall,success_f1,min_class_recall,roc_auc_failure,pr_auc_failure,false_success_count,false_failure_count,actual_failure_rate,predicted_failure_rate,class_rate_gap,mean_p_failure_true_failure,mean_p_failure_true_success,confusion_labels_failure_success
test_M0,0.05,0.35555555555555557,0.618421052631579,0.3542800593765463,0.19444444444444445,1.0,0.32558139534883723,1.0,0.23684210526315788,0.3829787234042553,0.23684210526315788,0.7518796992481203,0.32943360139754824,0,29,0.15555555555555556,0.8,0.6444444444444445,0.175772026181221,0.10293474048376083,"[[7, 0], [29, 9]]"
test_M1,0.05,0.3333333333333333,0.6052631578947368,0.3330039525691699,0.1891891891891892,1.0,0.3181818181818182,1.0,0.21052631578947367,0.34782608695652173,0.21052631578947367,0.7706766917293233,0.6225372311086597,0,30,0.15555555555555556,0.8222222222222222,0.6666666666666666,0.23219169676303864,0.09665980190038681,"[[7, 0], [30, 8]]"
test_M2,0.05,0.3333333333333333,0.5469924812030075,0.33035714285714285,0.17142857142857143,0.8571428571428571,0.2857142857142857,0.9,0.23684210526315788,0.375,0.23684210526315788,0.7293233082706766,0.6325369876303661,1,29,0.15555555555555556,0.7777777777777778,0.6222222222222222,0.2978031039237976,0.09333041310310364,"[[6, 1], [29, 9]]"
test_M3,0.05,0.37777777777777777,0.5733082706766917,0.37,0.18181818181818182,0.8571428571428571,0.3,0.9166666666666666,0.2894736842105263,0.44,0.2894736842105263,0.7857142857142857,0.661157796451914,1,27,0.15555555555555556,0.7333333333333333,0.5777777777777777,0.33624014258384705,0.0793909877538681,"[[6, 1], [27, 11]]"
test_M4,0.05,0.5333333333333333,0.6071428571428572,0.4833242208857299,0.20833333333333334,0.7142857142857143,0.3225806451612903,0.9047619047619048,0.5,0.6440677966101694,0.5,0.763157894736842,0.5832792207792208,2,19,0.15555555555555556,0.5333333333333333,0.37777777777777777,0.31435340642929077,0.07426051050424576,"[[5, 2], [19, 19]]"
test_M5,0.05,0.6666666666666666,0.744360902255639,0.6031746031746031,0.3,0.8571428571428571,0.4444444444444444,0.96,0.631578947368421,0.7619047619047619,0.631578947368421,0.8872180451127819,0.7198569082805535,1,14,0.15555555555555556,0.4444444444444444,0.28888888888888886,0.43547138571739197,0.07028178125619888,"[[6, 1], [14, 24]]"
test_M6,0.05,0.7555555555555555,0.7969924812030075,0.6787800129785853,0.375,0.8571428571428571,0.5217391304347826,0.9655172413793104,0.7368421052631579,0.835820895522388,0.7368421052631579,0.8984962406015038,0.6357404500261643,1,10,0.15555555555555556,0.35555555555555557,0.2,0.573902428150177,0.07211892306804657,"[[6, 1], [10, 28]]"
test_M7,0.05,0.7333333333333333,0.7838345864661653,0.6590909090909092,0.35294117647058826,0.8571428571428571,0.5,0.9642857142857143,0.7105263157894737,0.8181818181818182,0.7105263157894737,0.9022556390977443,0.6527472527472526,1,11,0.15555555555555556,0.37777777777777777,0.2222222222222222,0.6350318789482117,0.07078088819980621,"[[6, 1], [11, 27]]"
test_M8,0.05,0.7333333333333333,0.7838345864661653,0.6590909090909092,0.35294117647058826,0.8571428571428571,0.5,0.9642857142857143,0.7105263157894737,0.8181818181818182,0.7105263157894737,0.8909774436090225,0.6487684729064039,1,11,0.15555555555555556,0.37777777777777777,0.2222222222222222,0.655828595161438,0.07417450100183487,"[[6, 1], [11, 27]]"
test_M9,0.05,0.7555555555555555,0.7969924812030075,0.6787800129785853,0.375,0.8571428571428571,0.5217391304347826,0.9655172413793104,0.7368421052631579,0.835820895522388,0.7368421052631579,0.8947368421052632,0.6640745953553835,1,10,0.15555555555555556,0.35555555555555557,0.2,0.6631060838699341,0.07740826904773712,"[[6, 1], [10, 28]]"
test_M10,0.05,0.7555555555555555,0.7969924812030075,0.6787800129785853,0.375,0.8571428571428571,0.5217391304347826,0.9655172413793104,0.7368421052631579,0.835820895522388,0.7368421052631579,0.8984962406015038,0.6513227513227513,1,10,0.15555555555555556,0.35555555555555557,0.2,0.6647260785102844,0.07958333194255829,"[[6, 1], [10, 28]]"
test_M11,0.05,0.7555555555555555,0.7969924812030075,0.6787800129785853,0.375,0.8571428571428571,0.5217391304347826,0.9655172413793104,0.7368421052631579,0.835820895522388,0.7368421052631579,0.9022556390977444,0.6372789115646258,1,10,0.15555555555555556,0.35555555555555557,0.2,0.6641049385070801,0.0806581899523735,"[[6, 1], [10, 28]]"
test_M12,0.05,0.7555555555555555,0.7969924812030075,0.6787800129785853,0.375,0.8571428571428571,0.5217391304347826,0.9655172413793104,0.7368421052631579,0.835820895522388,0.7368421052631579,0.9060150375939848,0.6389455782312925,1,10,0.15555555555555556,0.35555555555555557,0.2,0.6626745462417603,0.08110848069190979,"[[6, 1], [10, 28]]"
