group,feature,auc_drop_mean,auc_drop_std,f1_drop_mean
temporal,is_missing_monthly_doses_taken,0.11090225563909761,0.03805172458818093,0.12160278529843745
temporal,cumulative_doses_taken,0.04586466165413522,0.03697994775145244,-0.001993851559068943
temporal,monthly_doses_taken,0.04172932330827054,0.0363108077343975,0.028491624317711267
static,height_cm,0.0244360902255638,0.004526915255185079,-0.007114624505928846
static,bp_systolic,0.014661654135338232,0.008141506702145746,-0.002371541501976282
temporal,is_missing_pct_adherence,0.012030075187969813,0.005525164833345522,0.013043478260869556
temporal,is_missing_monthly_missed_doses,0.012030075187969813,0.009774436090225555,0.008498023715415016
static,bp_diastolic,0.009774436090225403,0.006108299552357881,-0.00019762845849802257
temporal,is_missing_weight,0.009022556390977298,0.004511278195488742,0.0017786561264822142
static,is_missing_weight_kg,0.006766917293232933,0.002813276230657066,0.0
temporal,is_missing_xpert_mtb_rif,0.006766917293232933,0.0022556390977443107,0.0
static,is_missing_weight,0.005263157894736725,0.0034455456353050663,0.0
temporal,is_missing_height,0.004511278195488555,0.002255639097744333,-0.016600790513833973
temporal,pct_adherence,0.004135338345864525,0.008646616541353416,0.021565217391304337
static,is_missing_name_of_diagnosing_facility,0.004135338345864515,0.0026315789473683703,0.0
temporal,is_missing_cumulative_doses_taken,0.003759398496240474,0.0060618479310515306,0.0021739130434782596
static,is_missing_age,0.003759398496240407,0.0,0.0
temporal,is_missing_smear_tb_lamp,0.0033834586466163887,0.002024498047794867,-0.004743083003952564
static,age,0.003007518796992359,0.010336636905915401,-0.0009644268774703479
static,is_missing_xpert_mtb_rif,0.0030075187969923144,0.002813276230657069,0.0
static,intensive_phase_start_date,0.0022556390977442773,0.003833849258340385,-0.02371541501976282
static,treatment_start_date,0.0018796992481202035,0.0018796992481202035,0.0
temporal,monthly_missed_doses,0.0018796992481201814,0.006119857366954767,-0.012055335968379433
static,date_of_diagnosis,0.001503759398496185,0.0024937028498912025,-0.02134387351778654
static,date_of_notification,0.0007518796992480814,0.0015037593984961626,-0.016600790513833973
static,is_missing_smear_microscopy,0.00037593984962400737,0.0020244980477948896,0.0
static,smear_microscopy,0.0,0.0,0.0
static,xpert_mtb_rif,0.0,0.0,0.0
temporal,xpert_mtb_rif,0.0,0.0,0.0
static,is_missing_name_of_treatment_unit,0.0,0.0,0.0
static,is_missing_height,0.0,0.0,0.0
temporal,smear_tb_lamp,0.0,0.0,0.0
static,is_missing_height_cm,0.0,0.0,0.0
static,o2_sat,-0.005639097744361043,0.007750198544394073,-0.009683794466403151
static,weight_kg,-0.011278195488721887,0.0016812541184209068,-0.004743083003952564
static,heart_rate,-0.02218045112781968,0.006818931258352276,-0.007509881422924891
temporal,height,-0.028195488721804662,0.007750198544394099,-0.04366889632107027
temporal,weight,-0.050000000000000135,0.007713640800256854,-0.0577157190635452
