Model,Sampler,Accuracy,ROC-AUC,CV-AUC Mean,CV-AUC Std,Precision (Fail),Recall (Fail),F1 (Fail),Precision (Succ),Recall (Succ),F1 (Succ),Train Time (s)
Logistic Regression,None,0.5976220275344181,0.6332787849512187,0.6337450259789159,0.01928640699423859,0.18970588235294117,0.583710407239819,0.28634850166481685,0.8997821350762527,0.5998547567175018,0.7198257080610022,0.12
Random Forest,None,0.7590738423028786,0.6783469211381552,0.6676963425594019,0.00763948755207288,0.23885350318471338,0.3393665158371041,0.2803738317757009,0.8862928348909658,0.8264342774146696,0.8553175497933108,0.41
XGBoost,None,0.6708385481852316,0.6873194727866008,0.6628416423117741,0.008265728289561639,0.22323049001814882,0.5565610859728507,0.31865284974093266,0.9063992359121299,0.6891793754538853,0.783003300330033,0.9
LightGBM,None,0.6821026282853567,0.682758439390504,0.6640741751122324,0.0050444767647252016,0.22562141491395793,0.5339366515837104,0.3172043010752688,0.9041860465116279,0.7058823529411765,0.7928221859706363,0.53
Gradient Boosting,None,0.8617021276595744,0.7060252959906939,0.6692936017153521,0.005308974898313997,0.5,0.058823529411764705,0.10526315789473684,0.8676844783715013,0.990559186637618,0.9250593421498813,1.3
SVM (RBF),None,0.5193992490613266,0.607532605802502,0.5940627422522902,0.017321670395066224,0.1668696711327649,0.6199095022624435,0.2629558541266795,0.8918918918918919,0.5032679738562091,0.6434540389972145,6.64
Logistic Regression,SMOTE,0.5863579474342928,0.6362247261901242,0.6396502371373461,0.023646252515630763,0.1875,0.5972850678733032,0.28540540540540543,0.9004474272930649,0.5846042120551924,0.7089387934830471,0.45
Random Forest,SMOTE,0.7866082603254068,0.6833334976356891,0.6860320489070441,0.008452312665146929,0.2777777777777778,0.3393665158371041,0.3054989816700611,0.8900602409638554,0.8583877995642701,0.8739371534195933,0.45
XGBoost,SMOTE,0.5538172715894869,0.6804894238573593,0.6866147169801893,0.014305873479615379,0.19478908188585609,0.7104072398190046,0.305744888023369,0.9191919191919192,0.5286855482933914,0.6712770862148455,0.48
LightGBM,SMOTE,0.8404255319148937,0.6763539335626993,0.6868210690413239,0.01665785541429227,0.34545454545454546,0.17194570135746606,0.229607250755287,0.8770161290322581,0.9477124183006536,0.9109947643979057,1.46
Gradient Boosting,SMOTE,0.8347934918648311,0.6839759198467388,0.6902831651086805,0.013239295038766552,0.32231404958677684,0.17647058823529413,0.22807017543859648,0.8767772511848341,0.9404502541757443,0.9074982480728802,3.4
SVM (RBF),SMOTE,0.567584480600751,0.6088322374366204,0.5817808157973026,0.012130356961107086,0.1745152354570637,0.5701357466063348,0.2672322375397667,0.8915525114155252,0.5671750181554103,0.6932978251220595,19.71
Logistic Regression,SMOTE - ENN,0.571964956195244,0.6336878978170789,0.6410587635146803,0.02465740728707683,0.18068965517241378,0.5927601809954751,0.2769556025369979,0.8969072164948454,0.5686274509803921,0.696,0.64
Random Forest,SMOTE - ENN,0.7396745932415519,0.6898563011596461,0.6921622080967843,0.011930428590290629,0.2493573264781491,0.43891402714932126,0.3180327868852459,0.8974358974358975,0.7879448075526507,0.8391337973704563,0.69
